lemma,count
whistle,84524
ted,84491
jerk,84401
penny,84380
dean,84376
fought,84363
skill,84344
trace,84283
rome,84283
jeff,84256
discovered,84221
desire,84145
italian,84128
cancer,84070
foreign,84007
alan,83973
score,83936
y',83923
bike,83916
carl,83776
wire,83696
tour,83693
vampire,83588
lisa,83508
lower,83242
complicated,83225
circle,83165
dna,83074
gasping,83017
chase,82991
lad,82989
bond,82975
annie,82857
chuckling,82831
disease,82726
football,82620
growing,82615
c,82606
hired,82402
hidden,82300
grew,82232
easily,82228
burning,82126
clark,82034
snake,82024
filled,81948
higher,81834
chatter,81816
cow,81788
revenge,81728
louis,81701
bless,81663
attacked,81661
journey,81568
carter,81497
citizen,81470
chocolate,81465
gut,81403
emily,81344
caused,81289
chuck,81247
grandfather,81162
effort,81111
boom,81092
jacket,81083
holiday,81083
senator,81023
ate,80938
terrorist,80872
mood,80855
divorce,80773
punch,80751
phil,80644
loser,80534
bug,80528
royal,80514
alice,80479
boot,80390
including,80378
buying,80367
washington,80361
insurance,80341
basically,80166
mirror,80165
grant,80148
goodness,80088
planned,80065
talent,80027
medium,79963
object,79813
led,79784
hunter,79668
warrior,79642
bread,79618
obvious,79612
deliver,79607
invite,79596
telephone,79521
actor,79487
lucy,79396
pie,79375
regular,79339
uniform,79242
mystery,79214
sudden,79194
smith,79127
dy,79052
boring,79044
bath,78884
dating,78858
picking,78856
yell,78854
winner,78808
manage,78724
firm,78691
success,78640
exciting,78634
poison,78339
mercy,78333
luke,78300
vision,78286
proper,78242
metal,78228
elevator,78216
ruined,78203
yellow,78170
happiness,78096
neighborhood,78090
christian,78076
toy,78026
refuse,78024
fed,78016
sacrifice,77854
mentioned,77766
explosion,77751
knowledge,77744
scoff,77700
period,77561
bleeding,77545
edge,77448
joey,77439
tail,77397
gosh,77381
victory,77247
expert,77245
pleased,77222
cheap,77157
watched,77008
appointment,76982
burned,76980
dozen,76972
belongs,76955
changing,76916
newspaper,76915
expensive,76895
nightmare,76710
yourselves,76602
shift,76503
magazine,76398
iron,76393
section,76346
avoid,76344
shout,76296
w,76117
checking,76074
carrying,76007
tall,75951
freeze,75949
positive,75861
sexy,75803
governor,75800
fixed,75679
maria,75654
scientist,75612
range,75549
ability,75521
clue,75457
march,75450
traffic,75439
odd,75383
reached,75311
protection,75250
monday,75194
demand,75168
license,75164
laid,75131
grave,75130
pizza,75066
rescue,74985
eventually,74970
desert,74940
nerve,74930
scary,74861
romantic,74746
awake,74745
screwed,74688
hoo,74677
particular,74630
sat,74628
shock,74567
per,74492
depends,74369
china,74368
kyle,74308
raised,74302
madame,74295
wise,74260
vacation,74185
intelligence,74185
x,74112
kelly,74107
secure,74080
i'll,74061
duck,74051
material,74037
debt,74028
waited,73952
text,73886
below,73860
apple,73836
treasure,73831
hank,73785
pissed,73783
chose,73748
confused,73724
treatment,73719
armed,73699
jones,73694
swim,73669
l'm,73654
tax,73634
wherever,73631
clever,73627
jew,73601
cloud,73511
mask,73425
route,73397
technology,73385
advantage,73335
rope,73273
offered,73052
rick,73033
university,72997
border,72807
prime,72744
merry,72728
union,72674
barry,72667
sobbing,72665
billion,72650
pity,72634
zone,72598
cab,72331
negative,72303
deeply,72273
role,72249
central,72164
jury,72140
ahh,72138
i'ii,72132
emma,72091
kicked,72083
candy,72025
drove,71938
cock,71928
cure,71900
non,71899
pulling,71752
doll,71668
temple,71604
beating,71574
troop,71498
county,71437
political,71352
aside,71334
television,71330
whisper,71231
fail,71210
apology,71196
seek,71165
chef,71126
nothin',71103
nail,71064
curious,71046
pure,71018
leo,70985
g,70966
writer,70958
laura,70935
celebrate,70930
capable,70918
factory,70913
pot,70889
appear,70878
chicago,70843
hunting,70801
exhales,70773
golden,70690
carefully,70645
younger,70615
violence,70607
victor,70455
warrant,70419
badly,70384
appears,70380
europe,70377
kingdom,70367
mostly,70334
