lemma,count
raised,74302
madame,74295
wise,74260
vacation,74185
intelligence,74185
kelly,74107
secure,74080
duck,74051
material,74037
debt,74028
waited,73952
text,73886
apple,73836
treasure,73831
hank,73785
pissed,73783
chose,73748
confused,73724
treatment,73719
armed,73699
jones,73694
swim,73669
tax,73634
wherever,73631
clever,73627
jew,73601
cloud,73511
mask,73425
route,73397
technology,73385
advantage,73335
rope,73273
offered,73052
rick,73033
university,72997
border,72807
prime,72744
merry,72728
union,72674
sobbing,72665
billion,72650
pity,72634
zone,72598
cab,72331
negative,72303
deeply,72273
role,72249
central,72164
jury,72140
kicked,72083
candy,72025
drove,71938
cock,71928
cure,71900
non,71899
pulling,71752
doll,71668
temple,71604
beating,71574
troop,71498
county,71437
political,71352
aside,71334
television,71330
whisper,71231
fail,71210
apology,71196
seek,71165
chef,71126
nail,71064
curious,71046
pure,71018
leo,70985
writer,70958
celebrate,70930
capable,70918
factory,70913
pot,70889
appear,70878
chicago,70843
hunting,70801
exhales,70773
golden,70690
carefully,70645
younger,70615
violence,70607
victor,70455
warrant,70419
badly,70384
appears,70380
europe,70377
kingdom,70367
mostly,70334
pussy,70328
lily,70307
palace,70175
elizabeth,70127
stronger,70081
stealing,69998
sexual,69792
row,69709
stood,69688
monsieur,69641
junior,69640
percent,69626
goal,69617
schedule,69590
screen,69473
dish,69463
howard,69458
adult,69384
dawn,69376
touched,69360
midnight,69355
robot,69350
destiny,69301
wide,69292
ashamed,69261
courage,69248
disgusting,69184
winning,69157
available,69155
someday,69148
illegal,69072
attempt,69045
josh,68965
federal,68957
squad,68956
physical,68938
vega,68898
dump,68865
suffer,68847
committed,68838
blew,68836
jenny,68784
remove,68663
council,68548
rob,68541
tunnel,68477
useless,68409
movement,68391
prayer,68319
pen,68319
