lemma,definition,count
pulled,cause to move by pulling,126544
plenty,a full supply,126483
due,owed and payable immediately or on demand,126422
lab,a workplace for the conduct of scientific research,126282
written,set down in writing in any of various ways,126209
shame,a painful emotion resulting from an awareness of inadequacy or guilt,126155
fbi,a federal law enforcement agency that is the principal investigative arm of the Department of Justice,126137
ms.,a form of address for a woman,125868
common,belonging to or participated in by a community as a whole; public,125759
gotten,come into the possession of something concrete or abstract,125739
justice,the quality of being just or fair,125340
rat,any of various long-tailed rodents similar to but larger than a mouse,125048
main,most important element,124640
silly,"ludicrous, foolish",124632
fella,a boy or man,124535
responsible,worthy of or requiring responsibility or trust; or held accountable,124437
simply,and nothing more,124428
cook,prepare a hot meal,124220
sheriff,the principal law-enforcement officer in a county,124194
apologize,acknowledge faults or shortcomings or failing,124147
knowing,evidencing the possession of inside information,123666
strength,the property of being physically or mentally strong,123652
prisoner,a person who is confined; especially a prisoner of war,123452
hm,a metric unit of length equal to 100 meters,123401
hearing,(law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence,123348
walked,use one's feet to advance; advance by steps,123313
nurse,one skilled in caring for young children or the sick (usually under the supervision of a physician),123279
bobby,an informal term for a British policeman,123221
cake,a block of solid substance (such as soap or wax),123218
beg,call upon in supplication; entreat,123173
character,an imaginary person represented in a work of fiction (play or film or story),123091
correct,make right or correct,122894
murdered,killed unlawfully,122858
plus,a useful or valuable quality,122622
base,use as a basis for; found on,122593
necessary,absolutely essential,122514
beauty,the qualities that give pleasure to the senses,121921
restaurant,a building where people go to eat,121777
size,the physical magnitude of something (how big it is),121605
large,above average in size or number or quantity or magnitude or extent,121118
indistinct,not clearly defined or easy to perceive or understand,121115
investigation,an inquiry into unfamiliar or questionable activities,121085
powerful,having great power or force or potency or effect,120466
project,any piece of work that is undertaken or attempted,120337
charles,King of France from 1560 to 1574 whose reign was dominated by his mother Catherine de Medicis (1550-1574),120326
taught,impart skills or knowledge to,120309
possibly,by chance,120167
pound,16 ounces avoirdupois,120132
breaking,the act of breaking something,120093
pardon,accept an excuse for,119890
held,occupied or in the control of; often used in combination,119640
united,characterized by unity; being or joined into a single entity,119397
center,an area that is approximately central within some larger region,119237
player,a person who participates in or is skilled at some game,118915
clearly,without doubt or question,118667
daniel,(Old Testament) a youth who was taken into the court of Nebuchadnezzar and given divine protection when thrown into a den of lions (6th century BC),118620
lied,a German art song of the 19th century for voice and piano,118606
alarm,fear resulting from the awareness of danger,118414
purpose,an anticipated outcome that is intended or that guides your planned actions,118403
wound,an injury to living tissue (especially an injury involving a cut or break in the skin),118184
somehow,in some unspecified way or manner; or by some unspecified means,118177
loud,characterized by or producing sound of great volume or intensity,118115
pocket,a small pouch inside a garment for carrying small articles,118104
hanging,decoration that is hung (as a tapestry) on a wall or over a window,117972
excited,(of persons) excessively affected by emotion,117964
national,of or relating to or belonging to a nation or country,117833
post,the position where someone (as a guard or sentry) stands or is assigned to stand,117807
spoke,support consisting of a radial member of a wheel joining the hub to the rim,117670
bringing,the act of delivering or distributing something (as goods or mail),117560
credit,approval,117486
view,a way of regarding situations or topics etc.,117433
agreed,be in accord; be in agreement,117315
famous,widely known and esteemed,117258
beep,a short high tone produced as a signal or warning,117121
mail,send via the postal service,117103
checked,"examine so as to determine accuracy, quality, or condition",116977
survive,continue to live through hardship or adversity,116214
creature,a living organism characterized by voluntary movement,115900
market,the world of commercial activity where goods and services are bought and sold,115690
sweetie,a person loved by another person,115686
minister,a person authorized to conduct religious worship,115611
release,"release, as from one's grip",115556
practice,a customary way of operation or behavior,115534
career,the particular occupation for which you are trained,115407
pal,a close friend who accompanies his buddies in their activities,115352
advice,a proposal for an appropriate course of action,115340
freedom,the condition of being free; the power to act or speak or think without externally imposed restraints,115300
hardly,only a very short time before; ; ; ; ; - W.B.Yeats,115242
greatest,highest in quality,115045
bite,"to grip, cut off, or tear with or as if with the teeth or jaws",114977
meat,the flesh of animals (including fishes and birds and snails) used as food,114870
dropped,let fall to the ground,114752
fill,"make full, also in a metaphorical sense",114697
lesson,a unit of instruction,114585
horn,a noisemaker (as at parties or games) that makes a loud noise when you blow through it,114550
panting,breathing heavily (as after exertion),114299
science,a particular branch of scientific knowledge,114232
chinese,of or pertaining to China or its peoples or cultures,114063
finding,"the act of determining the properties of something, usually by research or calculation",113937
access,the right to enter,113572
noise,sound of any kind (especially unintelligible or dissonant sound),113292
dumb,slow to learn or understand; lacking intellectual acuity; ; ; - Thackeray,113286
training,activity leading to skilled behavior,113241
serve,"serve a purpose, role, or function",112935
teeth,the kind and number and arrangement of teeth (collectively) in a person or animal,112891
several,considered individually,112875
coach,(sports) someone in charge of training an athlete or a team,112766
twenty,denoting a quantity consisting of 20 items or units,112581
walter,German conductor (1876-1962),112535
male,being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation,112425
truly,in accordance with truth or fact or reality,112180
draw,cause to move by pulling,111888
wing,a movable organ for flying (one of a pair),111841
female,an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa),111813
thief,a criminal who takes property belonging to someone else with the intention of keeping it or selling it,111791
distance,the property created by the space between two objects or points,111329
planning,an act of formulating a program for a definite course of action,111124
plant,buildings for carrying on industrial labor,111094
fake,fraudulent; having a misleading appearance,111054
opinion,a personal belief or judgment that is not founded on proof or certainty,110823
nowhere,not anywhere; in or at or to no place,110713
beeping,make a loud noise,110385
martin,French bishop who is a patron saint of France (died in 397),110331
responsibility,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr,110288
belong,be owned by; be in the possession of,110161
papa,an informal term for a father; probably derived from baby talk,110098
destroyed,spoiled or ruined or demolished,110055
subject,the subject matter of a conversation or discussion,109838
screw,someone who guards prisoners,109770
pretend,make believe with the intent to deceive,109732
path,a course of conduct,109196
paying,"give money, usually in exchange for goods or services",109178
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,109162
defense,(military) military action or resources protecting a country against potential enemies,109149
dancing,taking a series of rhythmical steps (and movements) in time to music,109083
nearly,(of actions or states) slightly short of or not quite accomplished; all but,108854
effect,a phenomenon that follows and is caused by some previous phenomenon,108754
suicide,the act of killing yourself,108724
brown,of a color similar to that of wood or earth,108657
dressed,dressed or clothed especially in fine attire; often used in combination,108592
gang,an association of criminals,108527
manager,someone who controls resources and expenditures,108475
health,a healthy state of wellbeing free from disease,108299
spanish,the Romance language spoken in most of Spain and the countries colonized by Spain,108117
natural,in accordance with nature; relating to or concerning nature,108091
groaning,"indicate pain, discomfort, or displeasure",107860
claim,assert or affirm strongly; state to be true or existing,107787
century,a period of 100 years,107695
connection,a relation between things or events (as in the case of one causing the other or sharing features with it),107666
lover,a person who loves someone or is loved by someone,107490
remain,stay the same; remain in a certain state,107335
noticed,"discover or determine the existence, presence, or fact of",107279
cream,the best people or things in a group,107263
original,preceding all others in time or being as first made or performed,107154
milk,a white nutritious liquid secreted by mammals and used as food by human beings,107071
threat,something that is a source of danger,106775
letting,property that is leased or rented out or let,106765
damage,inflict damage upon,106602
proof,any factual evidence that helps to establish the truth of something,106539
understood,fully apprehended as to purport or meaning or explanation,106504
knee,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,106474
aware,(sometimes followed by `of') having or showing knowledge or understanding or realization or perception,106344
shower,a plumbing fixture that sprays water over you,106332
discuss,to consider or examine in speech or writing,106251
alien,not contained in or deriving from the essential nature of something,106235
universe,everything that exists anywhere,106180
heat,a form of energy that is transferred by a difference in temperature,106138
prepare,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",106136
turning,the act of changing or reversing the direction of the course,106015
affair,a vaguely specified concern,105977
grandma,the mother of your father or mother,105942
older,advanced in years; (`aged' is pronounced as two syllables),105827
desk,a piece of furniture with a writing surface and usually drawers or other compartments,105807
pray,"address a deity, a prophet, a saint or an object of worship; say a prayer",105771
prepared,made ready or fit or suitable beforehand,105645
horrible,provoking horror; ; ; ; - Winston Churchill,105606
babe,a very young child (birth to 1 year) who has not yet begun to walk or talk,105499
interview,"conduct an interview in television, newspaper, and radio reporting",105439
anna,a former copper coin of Pakistan and India,105428
biggest,above average in size or number or quantity or magnitude or extent,105363
theory,a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena,105355
easier,posing no difficulty; requiring little effort,105342
property,something owned; any tangible or intangible possession that is owned by someone,105321
dig,"turn up, loosen, or remove earth",105109
shake,move or cause to move back and forth,105046
concerned,feeling or showing worry or solicitude,104913
lift,raise from a lower to a higher position,104796
gunshot,the act of shooting a gun,104701
research,systematic investigation to establish facts,104533
storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,104394
saving,an act of economizing; reduction in cost,104357
meaning,the message that is intended or expressed or signified,104351
arrested,take into custody,104264
honestly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that,104227
oil,a slippery or viscous liquid or liquefiable substance not miscible with water,103990
plate,(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score,103873
source,"the place where something begins, where it springs into being",103837
speech,the act of delivering a formal spoken communication to an audience,103613
location,a point or extent in space,103356
sunday,first day of the week; observed as a day of rest and worship by most Christians,103174
perfectly,completely and without qualification; used informally as intensifiers,103099
weak,wanting in physical strength,103065
suggest,"make a proposal, declare a plan for something",103036
pool,an excavation that is (usually) filled with water,102896
focus,the concentration of attention or energy on something,102825
incredible,beyond belief or understanding,102765
model,a hypothetical description of a complex entity or process,102677
recognize,accept (someone) to be what is claimed or accept his power and authority,102603
loss,something that is lost,102471
tire,hoop that covers a wheel,102368
wave,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),102228
inspector,a high ranking police officer,102219
opening,first or beginning,102146
heading,a line of text serving to indicate what the passage below it is about,102131
concern,be relevant to,102042
pill,something that resembles a tablet of medicine in shape or size,101972
map,a diagrammatic representation of the earth's surface (or part of it),101827
stranger,anyone who does not belong in the environment in which they are found,101820
wheel,a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines),101758
scott,award-winning United States film actor (1928-1999),101718
settle,"settle into a position, usually on a surface or ground",101704
headed,having a heading or course in a certain direction,101685
split,extending the legs at right angles to the trunk (one in front and the other in back),101674
monkey,any of various long-tailed primates (excluding the prosimians),101670
rachel,(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,101666
comfortable,providing or experiencing physical well-being or relief (`comfy' is informal),101514
crash,a loud resonant repeating noise,101307
jerry,offensive term for a person of German descent,101215
afford,be able to spare or give up,101211
yelling,uttering a loud inarticulate cry as of pain or excitement,101178
wash,clean with some chemical process,101158
stolen,take without the owner's consent,101136
freak,a person or animal that is markedly unusual or deformed,100906
regret,feel remorse for; feel sorry for; be contrite about,100869
loose,not compact or dense in structure or arrangement,100636
insane,afflicted with or characteristic of mental derangement,100534
degree,a position on a scale of intensity or amount or quality,100292
roof,a protective covering that covers or forms the top of a building,100260
scare,cause fear in,100145
weight,the vertical force exerted by a mass as a result of gravity,100024
painting,graphic art consisting of an artistic composition made by applying paints to a surface,99968
ugly,displeasing to the senses,99962
liar,a person who has lied or who lies repeatedly,99895
believed,accept as true; take to be true,99663
contract,a binding agreement between two or more persons that is enforceable by law,99602
cigarette,finely ground tobacco wrapped in paper; for smoking,99499
fantastic,ludicrously odd,99490
indian,a member of the race of people living in America when Europeans arrived,99468
france,a republic in western Europe; the largest country wholly in Europe,99416
forgotten,not noticed inadvertently,99410
selling,the exchange of goods for an agreed sum of money,99325
prefer,like better; value more highly,98610
surgery,the branch of medical science that treats disease or injury by operative procedures,98520
season,a period of the year marked by special events or activities in some field,98517
tongue,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,98472
followed,"to travel behind, go after, come after",98465
fate,an event (or a course of events) that will inevitably happen in the future,98426
safety,the state of being certain that adverse effects will not be caused by some agent under defined conditions,98396
brave,possessing or displaying courage; able to face and deal with danger or fear without flinching; - Herman Melville; - William Wordsworth,98390
wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,98284
lake,a body of (usually fresh) water surrounded by land,98176
grown,(of animals) fully developed,98112
image,an iconic mental representation,98109
yard,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride,98038
spring,the season of growth,97968
authority,the power or right to give orders or make decisions,97948
total,constituting the full quantity or extent; complete,97886
england,a division of the United Kingdom,97858
artist,a person whose creative work shows sensitivity and imagination,97684
trade,the commercial exchange (buying and selling on domestic or international markets) of goods and services,97652
soft,yielding readily to pressure or weight,97604
snow,precipitation falling from clouds in the form of ice crystals,97506
friday,the sixth day of the week; the fifth working day,97373
failed,fail to do something; leave something undone,97255
exist,"have an existence, be extant",97227
lip,either of two fleshy folds of tissue that surround the mouth and play a role in speaking,97166
brilliant,of surpassing excellence,97135
castle,a large and stately mansion,97124
murderer,a criminal who commits homicide (who performs the unlawful premeditated killing of another human being),97035
coat,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,96975
falling,decreasing in amount or degree,96927
based,having a base,96831
official,a worker who holds or is invested with an office,96750
thomas,United States clockmaker who introduced mass production (1785-1859),96747
rise,move upward,96721
invited,increase the likelihood of,96671
threw,propel through the air,96638
example,an item of information that is typical of a class or group,96595
ended,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",96509
lately,in the recent past,96306
mayor,the head of a city government,96261
add,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",96170
sending,the act of causing something to go (especially messages),96142
site,the piece of land on which something is located (or is to be located),96087
garden,a plot of ground where plants are cultivated,96086
created,make or cause to be or to become,96048
style,how something is done or how it happens,95924
quarter,one of four equal parts,95832
unfortunately,by bad luck,95777
spread,distribute or disperse widely,95768
realized,be fully aware or cognizant of,95607
priest,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,95412
nation,a politically organized body of people under a single government,95411
pilot,someone who is licensed to operate an aircraft in flight,95345
process,a particular course of action intended to achieve a result,94918
sale,a particular instance of selling,94882
staff,personnel who assist their superior in carrying out an assigned task,94857
sin,estrangement from god,94716
ordered,having a systematic arrangement; especially having elements succeeding in order according to rule,94671
expecting,regard something as probable or likely,94614
request,express the need or desire for; ask for,94613
crack,become fractured; break or crack on the surface only,94601
genius,someone who has exceptional intellectual ability and originality,94529
challenge,take exception to,94492
shoulder,the part of the body between the neck and the upper arm,94482
create,make or cause to be or to become,94425
clock,a timepiece that shows the time of day,94356
data,a collection of facts from which conclusions may be drawn,94320
sugar,a white crystalline carbohydrate used as a sweetener and preservative,94318
direction,a line leading to a place or point,94267
usual,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure,94133
lonely,lacking companions or companionship,94034
tip,the extreme end of something; especially something pointed,93986
mister,a form of address for a man,93965
opened,used of mouth or eyes,93815
vehicle,a conveyance that transports people or objects,93812
audience,a gathering of spectators or listeners at a (usually public) performance,93752
statement,a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc,93719
shadow,shade within clear boundaries,93700
customer,someone who pays for goods or services,93621
kinda,to some (great or small) extent,93561
bang,strike violently,93545
ruin,destroy completely; damage irreparably,93544
demon,an evil supernatural being,93454
jealous,showing extreme cupidity; painfully desirous of another's advantages,93234
medicine,the branches of medical science that deal with nonsurgical techniques,93221
whore,a woman who engages in sexual intercourse for money,93214
sport,an active diversion requiring physical exertion and competition,93167
remind,put in the mind of someone,93104
began,take the first step or steps in carrying out an action,93018
farm,workplace consisting of farm buildings and cultivated land as a unit,92707
ocean,a large body of water constituting a principal part of the hydrosphere,92679
weather,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,92546
pair,a set of two similar things considered as a unit,92442
repeat,"to say, state, or perform again",92430
owner,(law) someone who owns (is legal possessor of) a business,92380
saturday,the seventh and last day of the week; observed as the Sabbath by Jews and some Christians,92328
flat,"having a surface without slope, tilt in which no part is higher or lower than another",92327
witch,a female sorcerer or magician,92254
japanese,of or relating to or characteristic of Japan or its people or their culture or language,92240
covered,overlaid or spread or topped with or enclosed within something; sometimes used as a combining form,92123
attorney,a professional person authorized to practice law; conducts lawsuits or gives legal advice,92111
butt,lie adjacent to another or share a boundary,92023
option,the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited,91975
chest,the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,91836
harm,any physical damage to the body caused by violence or accident or fracture etc.,91808
stayed,stay the same; remain in a certain state,91790
funeral,a ceremony at which a dead person is buried or cremated,91760
nonsense,a message that seems to convey no meaning,91756
applause,a demonstration of approval by clapping the hands together,91710
meal,the food served and eaten at one time,91629
society,an extended social group having a distinctive cultural and economic organization,91533
grandpa,the father of your father or mother,91517
barely,only a very short time before; ; ; ; ; - W.B.Yeats,91227
professional,engaged in a profession or engaging in as a profession or means of livelihood,91116
naked,completely unclothed,91044
british,of or relating to or characteristic of Great Britain or its people or culture,90863
click,move or strike with a noise,90748
warning,a message informing of danger,90742
forest,the trees and other plants in a large densely wooded area,90728
supply,give something useful or necessary to,90673
signed,having a handwritten signature,90617
miracle,any amazing or wonderful occurrence,90597
fancy,imagine; conceive of; see in one's mind,90585
amount,a quantity of money,90381
trap,a device in which something (usually an animal) can be caught and penned,90311
winter,the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox,90239
birth,the time when something begins (especially life),90218
received,get something; come into possession of,90184
ancient,belonging to times long past especially of the historical period before the fall of the Western Roman Empire,90183
simon,one of the twelve Apostles (first century),90082
siren,a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived,90029
tank,an enclosed armored military vehicle; has a cannon and moves on caterpillar treads,89952
tiny,very small,89870
chattering,the rapid series of noises made by the parts of a machine,89829
spare,refrain from harming,89806
joy,the emotion of great happiness,89775
brings,take something or somebody with oneself somewhere,89651
airport,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,89632
disappeared,"get lost, as without warning or explanation",89552
secretary,a person who is head of an administrative department of government,89511
print,put into print,89491
slept,be asleep,89459
bedroom,a room used primarily for sleeping,89264
buried,cover from sight,89221
wet,covered or soaked with a liquid such as water,89218
giant,of great mass; huge and bulky,89153
jason,(Greek mythology) the husband of Medea and leader of the Argonauts who sailed in quest of the Golden Fleece,89044
sooner,comparatives of `soon' or `early',89012
forced,produced by or subjected to forcing,89001
bright,emitting or reflecting light readily or in large amounts,88976
button,a round fastener sewn to shirts and coats etc to fit through buttonholes,88966
cheese,a solid food prepared from the pressed curd of milk,88938
social,relating to human society and its members,88919
speaks,express in speech,88701
load,weight to be borne or conveyed,88689
paint,make a painting,88580
assume,take to be the case or to be true; accept without verification or proof,88547
dragon,a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings,88547
enter,to come or go into,88541
surely,definitely or positively (`sure' is sometimes used informally for `surely'),88486
introduce,cause to come to know personally,88430
expected,considered likely or probable to happen or arrive,88423
diamond,a transparent piece of diamond that has been cut and polished and is valued as a precious gem,88345
grade,a body of students who are taught together,88330
community,a group of people living in a particular local area,88328
worker,a person who works at a specific occupation,88276
recently,in the recent past,88162
hunt,pursue for food or sport (as of wild animals),88112
square,(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon,88096
handsome,pleasing in appearance especially by reason of conformity to ideals of form and proportion; ; ; ; - Thackeray; - Lillian Hellman,88089
personally,as yourself,88009
harder,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,88008
value,a numerical quantity measured or assigned or computed,87893
neighbor,a person who lives (or is located) near another,87708
permission,approval to do something,87673
slave,a person who is owned by someone,87365
matt,the property of having little or no contrast; lacking highlights or gloss,87357
rate,a magnitude or frequency relative to a time unit,87260
likely,has a good chance of being the case or of coming about,87221
hook,fasten with a hook,87206
spell,a psychological state induced by (or as if induced by) a magical incantation,87045
reporter,a person who investigates and reports or edits news stories,86981
piss,eliminate urine,86847
santa,the legendary patron saint of children; an imaginary being who is thought to bring presents to children at Christmas,86796
arthur,elected vice president and became 21st President of the United States when Garfield was assassinated (1830-1886),86675
returned,"go or come back to place, condition, or activity where one has been before",86568
belief,any cognitive content held as true,86565
spy,(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors,86499
stomach,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,86479
chick,young bird especially of domestic fowl,86281
shape,any spatial attributes (especially as defined by outline),86276
rush,move fast,86262
narrator,someone who tells a story,86244
assistant,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,86206
zero,a quantity of no importance,86058
chip,a small fragment of something broken off from the whole,85963
showing,the display of a motion picture,85959
device,an instrumentality invented for a particular purpose,85760
silver,made from or largely consisting of silver,85748
switch,"change over, change around, as to a new order or sequence",85693
fortune,an unknown and unpredictable phenomenon that causes an event to result one way rather than another,85628
reality,all of your experiences that determine how things appear to you,85606
rent,"a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service",85571
silence,the state of being silent (as when no one is speaking),85564
dealing,method or manner of conduct in relation to others,85511
beast,a living organism characterized by voluntary movement,85491
familiar,well known or easily recognized,85488
rough,having or caused by an irregular surface,85454
slowly,without speed (`slow' is sometimes used informally for `slowly'),85347
jean,(usually plural) close-fitting trousers of heavy denim for manual work or casual wear,85241
toilet,a room or building equipped with one or more toilets,85150
tower,a structure taller than its diameter; can stand alone or be attached to a larger building,85019
legal,established by or founded upon law or official or accepted rules,84971
downstairs,on a floor below,84948
chain,a series of things depending on each other as if linked together,84759
ill,affected by an impairment of normal physical or mental function,84752
knocking,the sound of knocking (as on a door or in an engine or bearing),84657
whistle,make whistling sounds,84524
ted,a tough youth of 1950's and 1960's wearing Edwardian style clothes,84491
jerk,"pull, or move with a sudden movement",84401
penny,a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound,84380
dean,an administrator in charge of a division of a university or college,84376
fought,be engaged in a fight; carry on a fight,84363
skill,an ability that has been acquired by training,84344
trace,"follow, discover, or ascertain the course of development of something",84283
rome,capital and largest city of Italy; on the Tiber; seat of the Roman Catholic Church; formerly the capital of the Roman Republic and the Roman Empire,84283
discovered,discovered or determined by scientific observation,84221
desire,the feeling that accompanies an unsatisfied state,84145
italian,of or pertaining to or characteristic of Italy or its people or culture or language,84128
cancer,any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,84070
foreign,of concern to or concerning the affairs of other nations (other than your own),84007
score,a number or letter indicating quality (especially of a student's performance),83936
bike,a motor vehicle with two wheels and a strong frame,83916
wire,ligament made of metal and used to fasten things or make cages or fences etc,83696
tour,a journey or route all the way around a particular place or area,83693
vampire,(folklore) a corpse that rises at night to drink the blood of the living,83588
lower,move something or somebody to a lower position,83242
complicated,difficult to analyze or understand,83225
circle,ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point,83165
dna,(biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information,83074
gasping,"breathe noisily, as when one is exhausted",83017
chase,go after with the intent to catch,82991
lad,a boy or man,82989
bond,an electrical force linking atoms,82975
chuckling,laugh quietly or with restraint,82831
disease,an impairment of health or a condition of abnormal functioning,82726
football,any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal,82620
growing,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level,82615
hired,having services engaged for a fee,82402
hidden,not accessible to view,82300
grew,"pass into a condition gradually, take on a specific property or attribute; become",82232
easily,with ease (`easy' is sometimes used informally for `easily'),82228
burning,the act of burning something,82126
clark,United States explorer who (with Meriwether Lewis) led an expedition from St. Louis to the mouth of the Columbia River; Clark was responsible for making maps of the area (1770-1838),82034
snake,limbless scaly elongate reptile; some are venomous,82024
filled,(usually followed by `with' or used as a combining form) generously supplied with,81948
higher,advanced in complexity or elaboration,81834
chatter,noisy talk,81816
cow,female of domestic cattle:,81788
revenge,action taken in return for an injury or offense,81728
louis,United States prizefighter who was world heavyweight champion for 12 years (1914-1981),81701
bless,give a benediction to,81663
attacked,launch an attack or assault on; begin hostilities or start warfare with,81661
journey,the act of traveling from one place to another,81568
carter,Englishman and Egyptologist who in 1922 discovered and excavated the tomb of Tutankhamen (1873-1939),81497
citizen,a native or naturalized member of a state or other political community,81470
chocolate,a beverage made from cocoa powder and milk and sugar; usually drunk hot,81465
gut,the part of the alimentary canal between the stomach and the anus,81403
caused,"give rise to; cause to happen or occur, not always intentionally",81289
chuck,throw carelessly,81247
grandfather,the father of your father or mother,81162
effort,earnest and conscientious activity intended to do or accomplish something,81111
boom,"make a resonant sound, like artillery",81092
jacket,a short coat,81083
holiday,leisure time away from work devoted to rest or pleasure,81083
senator,a member of a senate,81023
ate,goddess of criminal rashness and its punishment,80938
terrorist,a radical who employs terror as a political weapon; usually organizes with other terrorists in small cells; often uses religion as a cover for terrorist activities,80872
mood,a characteristic (habitual or relatively temporary) state of feeling,80855
divorce,the legal dissolution of a marriage,80773
punch,deliver a quick blow to,80751
loser,a contestant who loses the contest,80534
bug,general term for any insect or similar creeping or crawling invertebrate,80528
royal,of or relating to or indicative of or issued or performed by a king or queen or other monarch,80514
boot,footwear that covers the whole foot and lower leg,80390
including,"have as a part, be made up out of",80378
buying,the act of buying,80367
washington,the capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'Enfant to lay out the city in 1791,80361
insurance,promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company,80341
basically,in essence; at bottom or by one's (or its) very nature,80166
mirror,polished surface that forms images by reflecting light,80165
grant,let have,80148
goodness,that which is pleasing or valuable or useful,80088
planned,designed or carried out according to a plan,80065
talent,natural abilities or qualities,80027
medium,a means or instrumentality for storing or communicating information,79963
object,a tangible and visible entity; an entity that can cast a shadow,79813
led,diode such that light emitted at a p-n junction is proportional to the bias current; color depends on the material used,79784
hunter,someone who hunts game,79668
warrior,someone engaged in or experienced in warfare,79642
bread,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,79618
obvious,easily perceived by the senses or grasped by the mind,79612
deliver,"deliver (a speech, oration, or idea)",79607
invite,increase the likelihood of,79596
telephone,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,79521
actor,a theatrical performer,79487
lucy,incomplete skeleton of female found in eastern Ethiopia in 1974,79396
pie,dish baked in pastry-lined pan often with a pastry top,79375
regular,in accordance with fixed order or procedure or principle,79339
uniform,clothing of distinctive design worn by members of a particular group as a means of identification,79242
mystery,something that baffles understanding and cannot be explained,79214
sudden,happening without warning or in a short space of time,79194
smith,Rhodesian statesman who declared independence of Zimbabwe from Great Britain (born in 1919),79127
dy,a trivalent metallic element of the rare earth group; forms compounds that are highly magnetic,79052
boring,so lacking in interest as to cause mental weariness; ; ; ; ; ; - Edmund Burke; ; - Mark Twain,79044
bath,a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it),78884
dating,use of chemical analysis to estimate the age of geological specimens,78858
picking,the quantity of a crop that is harvested,78856
yell,utter a sudden loud cry,78854
winner,the contestant who wins the contest,78808
manage,be successful; achieve a goal,78724
firm,the members of a business organization that owns or operates one or more establishments,78691
success,an event that accomplishes its intended purpose,78640
exciting,creating or arousing excitement,78634
poison,any substance that causes injury or illness or death of a living organism,78339
mercy,leniency and compassion shown toward offenders by a person or agency charged with administering justice,78333
luke,(New Testament) the Apostle closely associated with St. Paul and traditionally assumed to be the author of the third Gospel,78300
vision,a vivid mental image,78286
proper,marked by suitability or rightness or appropriateness,78242
metal,any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.,78228
