lemma,count
selling,99325
andy,99148
ryan,99083
pieces,99003
inspector,98792
color,98643
prefer,98610
lift,98576
followed,98465
safety,98396
photo,98366
dig,98121
grown,98112
damage,98046
kate,98036
total,97886
england,97858
babe,97719
split,97714
william,97698
opinion,97387
failed,97255
roof,97247
exist,97227
brilliant,97135
falling,96927
pig,96888
based,96831
thomas,96747
invited,96671
threw,96638
pool,96583
gang,96535
ended,96509
heh,96493
wash,96465
lately,96306
mayor,96261
sending,96142
dan,96069
created,96048
unfortunately,95777
brian,95641
realized,95607
lonely,95502
character,95442
ed,95223
settle,95125
pete,95074
flat,94995
fingers,94974
noise,94943
finger,94930
snow,94874
movies,94864
staff,94857
nope,94848
shake,94761
ordered,94671
sunday,94668
expecting,94614
storm,94613
create,94425
weight,94420
shower,94374
data,94320
cheap,94307
fate,94255
responsibility,94215
usual,94133
nah,94079
dave,94037
mister,93965
path,93957
opened,93815
tiny,93640
lines,93636
kinda,93561
friday,93544
page,93517
issue,93362
property,93278
jealous,93234
trade,93109
remind,93104
surgery,93099
letters,93059
began,93018
castle,92726
horses,92686
tall,92533
speech,92284
japanese,92240
covered,92123
thousands,91805
stayed,91790
nonsense,91756
applause,91710
cares,91705
grandpa,91517
sugar,91496
hill,91468
fan,91452
lake,91345
barely,91227
sees,91140
naked,91044
wet,91033
process,91005
british,90863
streets,90854
location,90672
signed,90617
member,90305
suck,90293
weather,90279
example,90206
received,90184
harm,90112
stops,90000
horn,89993
whenever,89967
style,89946
chattering,89829
tongue,89744
france,89686
brings,89651
audience,89604
disappeared,89552
slept,89459
chest,89446
crash,89221
buried,89221
jason,89044
sooner,89012
forced,89001
bones,88970
social,88919
liar,88907
interview,88891
subject,88886
speaks,88701
simon,88565
thoughts,88555
assume,88547
enter,88541
loss,88495
surely,88486
spread,88481
introduce,88430
claire,88429
expected,88423
birth,88406
map,88234
theory,88169
recently,88162
repeat,88142
spare,88109
society,88097
handsome,88089
saturday,88076
personally,88009
permission,87673
pocket,87585
students,87443
matt,87357
genius,87314
add,87312
likely,87221
rough,87095
cheese,86956
clock,86935
medicine,86930
ears,86885
gentleman,86882
santa,86796
fancy,86721
larry,86693
arthur,86675
season,86613
returned,86568
coat,86268
narrator,86244
details,86165
warning,86150
showing,85959
secretary,85939
silver,85748
saving,85710
familiar,85488
slowly,85347
funeral,85326
closes,85301
trees,85180
joy,85074
runs,85069
airport,85057
legal,84971
downstairs,84948
attorney,84938
connection,84917
wise,84826
rat,84767
ill,84752
points,84697
knocking,84657
secrets,84657
woods,84648
ancient,84644
ted,84491
dean,84376
fought,84363
rome,84283
jeff,84256
discovered,84221
memories,84202
victims,84132
humans,84103
contract,84094
silence,84076
cancer,84070
foreign,84007
eggs,83999
alan,83973
y',83923
hunt,83816
answers,83801
carl,83776
powers,83741
ocean,83678
drinks,83536
lisa,83508
stomach,83469
farm,83399
paint,83386
garden,83374
complicated,83225
regret,83182
rush,83157
dna,83074
gasping,83017
doctors,82864
clears,82862
annie,82857
chuckling,82831
changes,82769
square,82675
freak,82631
rise,82629
football,82620
growing,82615
c,82606
officers,82574
challenge,82439
hired,82402
hidden,82300
grew,82232
easily,82228
members,82192
gods,82130
burning,82126
tickets,82121
community,82081
spring,82070
clark,82034
parts,81962
filled,81948
nights,81839
rent,81826
sexy,81811
revenge,81728
louis,81701
bless,81663
attacked,81661
reality,81607
threat,81595
bedroom,81569
carter,81497
forest,81380
emily,81344
caused,81289
chuck,81247
scary,81241
bang,81191
walls,81181
model,81168
grandfather,81162
zero,81113
winter,81014
ate,80938
scare,80771
pair,80735
reasons,80733
phil,80644
request,80527
alice,80479
including,80378
butt,80372
buying,80367
washington,80361
insurance,80341
site,80314
professional,80217
chatter,80209
basically,80166
source,80096
assistant,80094
goodness,80088
planned,80065
rights,80004
piss,79919
dealing,79884
chase,79803
led,79784
bread,79618
obvious,79612
deliver,79607
shots,79528
lesson,79421
lucy,79396
sudden,79194
boring,79044
cases,79001
switch,78955
fortune,78950
priest,78916
boom,78881
dating,78858
manage,78724
divorce,78665
hook,78636
exciting,78634
journey,78506
monkey,78408
royal,78363
pounds,78344
mercy,78333
luke,78300
thief,78296
proper,78242
ruined,78203
murderer,78184
plant,78174
yellow,78170
happiness,78096
finds,78078
pilot,77961
player,77880
amount,77858
jobs,77822
crack,77774
mentioned,77766
knowledge,77744
smith,77671
files,77573
bleeding,77545
dies,77515
shape,77514
joey,77439
gosh,77381
pleased,77222
forces,77180
event,77107
mood,77072
wide,77038
watched,77008
century,76996
burned,76980
belongs,76955
changing,76916
picking,76907
expensive,76895
statement,76831
giant,76690
bone,76644
success,76611
yourselves,76602
ruin,76597
families,76565
guards,76558
wound,76502
trap,76350
avoid,76344
tour,76255
enemies,76210
glasses,76201
scoffs,76194
rate,76185
telephone,76120
w,76117
checking,76074
carrying,76007
grant,75868
positive,75861
fixed,75679
maria,75654
merry,75476
traffic,75439
odd,75383
regular,75358
reached,75311
toilet,75302
protection,75250
